GEOID,County,median_home_value
19001,Adair,131600
19003,Adams,109400
19005,Allamakee,156900
19007,Appanoose,113900
19009,Audubon,99900
19011,Benton,189000
19013,Black Hawk,172500
19015,Boone,171600
19017,Bremer,202600
19019,Buchanan,166200
19021,Buena Vista,138100
19023,Butler,146300
19025,Calhoun,104900
19027,Carroll,162000
19029,Cass,127400
19031,Cedar,180700
19033,Cerro Gordo,145200
19035,Cherokee,145300
19037,Chickasaw,151700
19039,Clarke,127200
19041,Clay,151400
19043,Clayton,149500
19045,Clinton,144900
19047,Crawford,118400
19049,Dallas,314900
19051,Davis,140300
19053,Decatur,97000
19055,Delaware,154600
19057,Des Moines,135300
19059,Dickinson,236100
19061,Dubuque,210300
19063,Emmet,102700
19065,Fayette,123000
19067,Floyd,128800
19069,Franklin,108200
19071,Fremont,140400
19073,Greene,119100
19075,Grundy,166300
19077,Guthrie,153100
19079,Hamilton,116000
19081,Hancock,116000
19083,Hardin,109300
19085,Harrison,152000
19087,Henry,145200
19089,Howard,125100
19091,Humboldt,134300
19093,Ida,108000
19095,Iowa,175600
19097,Jackson,162100
19099,Jasper,163800
19101,Jefferson,141500
19103,Johnson,277800
19105,Jones,165200
19107,Keokuk,105500
19109,Kossuth,118800
19111,Lee,121000
19113,Linn,188800
19115,Louisa,125500
19117,Lucas,111000
19119,Lyon,190800
19121,Madison,230500
19123,Mahaska,135100
19125,Marion,192300
19127,Marshall,125900
19129,Mills,225500
19131,Mitchell,149200
19133,Monona,108700
19135,Monroe,128000
19137,Montgomery,99300
19139,Muscatine,159000
19141,O'Brien,141900
19143,Osceola,114800
19145,Page,112400
19147,Palo Alto,117000
19149,Plymouth,199800
19151,Pocahontas,90400
19153,Polk,232000
19155,Pottawattamie,169400
19157,Poweshiek,173600
19159,Ringgold,143100
19161,Sac,119500
19163,Scott,198000
19165,Shelby,152900
19167,Sioux,220700
19169,Story,229100
19171,Tama,129400
19173,Taylor,104500
19175,Union,113800
19177,Van Buren,107700
19179,Wapello,105800
19181,Warren,234300
19183,Washington,182400
19185,Wayne,98700
19187,Webster,130400
19189,Winnebago,121700
19191,Winneshiek,225400
19193,Woodbury,158000
19195,Worth,130600
19197,Wright,105400
